Asset Id,Asset Unique Id,Parent Asset Id,Date Created,External Asset Ref,External Asset Created On,External Asset Updated On,Client Asset Id,Client Date Created,Client Last Modified,Asset Type,Category Name,Asset Status,Compliance Status,Site Name,Sub Block Name,Zone Name,Location Name,
11802,COURT - EF2,,2022-05-22 08:34:24,,,,,,,Extractor Fan,Maintenance,Un-assigned,,Courtyard,,Ground Floor,Kitchen,
11803,COURT - AC1,,2022-05-22 08:35:30,,,,,,,AIR CONDITIONING UNIT,Water,Un-assigned,,Courtyard,,Ground Floor,Lounge / Dining Room,
11804,COURT - FD1,,2022-05-22 08:36:27,,,,,,,Fire Doors,Fire,Un-assigned,,Courtyard,,Ground Floor,Main Office,
11805,COURT - FD2,,2022-05-22 08:37:12,,,,,,,Fire Doors,Fire,Un-assigned,,Courtyard,,Ground Floor,Kitchen,
11806,COURT - FD3,,2022-05-22 08:38:03,,,,,,,Fire Doors,Fire,Un-assigned,,Courtyard,,Ground Floor,Lounge / Dining Room,
11807,COURT - FD4,,2022-05-22 08:39:06,,,,,,,Fire Doors,Fire,Un-assigned,,Courtyard,,Ground Floor,Bedroom 1,
11808,COURT - FD5,,2022-05-22 08:39:56,,,,,,,Fire Doors,Fire,Un-assigned,,Courtyard,,Ground Floor,Bedroom 2,
11809,COURT - FD6,,2022-05-22 08:40:48,,,,,,,Fire Doors,Fire,Un-assigned,,Courtyard,,Ground Floor,Bedroom 3,
11810,COURT - FD7,,2022-05-22 08:42:11,,,,,,,Fire Doors,Fire,Un-assigned,,Courtyard,,Ground Floor,Bedroom 4,
11811,COURT - FD8,,2022-05-22 08:43:09,,,,,,,Fire Doors,Fire,Un-assigned,,Courtyard,,Ground Floor,Bedroom 5,
11812,COURT - FD9,,2022-05-22 08:44:03,,,,,,,Fire Doors,Fire,Un-assigned,,Courtyard,,Ground Floor,Bedroom 6,
11813,COURT - FD10,,2022-05-22 08:44:57,,,,,,,Fire Doors,Fire,Un-assigned,,Courtyard,,Ground Floor,Laundry,
