Asset Id,Asset Unique Id,Parent Asset Id,Asset Type,Compliance Status,Site Name,Site Postcode,Sub Block Name,Zone Name,Location Name,
12571,EviTag_iOS_55,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12572,EviTag_iOS_56,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12573,EviTag_iOS_57,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12574,EviTag_iOS_58,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12575,EviTag_iOS_59,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12576,EviTag_iOS_60,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12577,EviTag_iOS_61,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12578,EviTag_iOS_62,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12579,EviTag_iOS_63,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12580,EviTag_iOS_64,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12581,EviTag_iOS_65,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12582,EviTag_iOS_66,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12583,EviTag_iOS_67,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12584,EviTag_iOS_68,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12585,EviTag_iOS_69,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12586,EviTag_iOS_70,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12587,EviTag_iOS_71,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12588,EviTag_iOS_72,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12589,EviTag_iOS_73,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12590,EviTag_iOS_74,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12591,EviTag_iOS_75,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12592,EviTag_iOS_76,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12593,EviTag_iOS_77,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12594,EviTag_iOS_78,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12595,EviTag_iOS_79,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12596,EviTag_iOS_80,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12597,EviTag_iOS_81,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12598,EviTag_iOS_82,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12599,EviTag_iOS_83,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12600,EviTag_iOS_84,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12601,EviTag_iOS_85,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12602,EviTag_iOS_86,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12603,EviTag_iOS_87,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12604,EviTag_iOS_88,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12605,EviTag_iOS_89,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12606,EviTag_iOS_90,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12607,EviTag_iOS_91,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12608,EviTag_iOS_92,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12609,EviTag_iOS_93,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12610,EviTag_iOS_94,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12611,EviTag_iOS_95,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12612,EviTag_iOS_96,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12613,EviTag_iOS_97,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12614,EviTag_iOS_98,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12615,EviTag_iOS_99,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12616,EviTag_iOS_100,0,Fire Doors,,1 - Rooks Nest,RH9 8BY,,Ground Floor,Hallway,
12617,EviTag_Android_0,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12618,EviTag_Android_1,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12619,EviTag_Android_2,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12620,EviTag_Android_4,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12621,EviTag_Android_8,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12622,EviTag_Android_3,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12623,EviTag_Android_7,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12624,EviTag_Android_9,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12625,EviTag_Android_6,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12626,EviTag_Android_5,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12627,EviTag_Android_10,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12628,EviTag_Android_11,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12629,EviTag_Android_12,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12630,EviTag_Android_13,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12631,EviTag_Android_14,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12632,EviTag_Android_15,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12633,EviTag_Android_16,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12634,EviTag_Android_17,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12635,EviTag_Android_18,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12636,EviTag_Android_20,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12637,EviTag_Android_19,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12638,EviTag_Android_21,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12639,EviTag_Android_22,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12640,EviTag_Android_24,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12641,EviTag_Android_23,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12642,EviTag_Android_25,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12643,EviTag_Android_26,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12644,EviTag_Android_27,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12645,EviTag_Android_28,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12646,EviTag_Android_29,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12647,EviTag_Android_31,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12648,EviTag_Android_30,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12649,EviTag_Android_32,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12650,EviTag_Android_33,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12651,EviTag_Android_34,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12652,EviTag_Android_35,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12653,EviTag_Android_36,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12654,EviTag_Android_38,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12655,EviTag_Android_37,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
12656,EviTag_Android_39,,Fire Doors,,1 - Rooks Nest,RH9 8BY,,,,
